Title,Price,Availability
A Light in the Attic,£51.77,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>"
Tipping the Velvet,£53.74,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>"
Soumission,£50.10,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>"
Sharp Objects,£47.82,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>"
Sapiens: A Brief History of Humankind,£54.23,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>"
The Requiem Red,£22.65,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>"
The Dirty Little Secrets of Getting Your Dream Job,£33.34,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>"
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>"
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>"
The Black Maria,£52.15,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>"
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>"
Shakespeare's Sonnets,£20.66,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>"
Set Me Free,£17.46,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>"
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>"
Rip it Up and Start Again,£35.02,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>"
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>"
Olio,£23.88,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>"
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>"
Libertarianism for Beginners,£51.33,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>"
It's Only the Himalayas,£45.17,"<p class=""instock availability"">
<i class=""icon-ok""></i>
    
        In stock
    
</p>"
